(09) @1SA 26:23	<p-n>@1 Samuel 26:23</p-n>	Que El SEÑOR pague a cada hombre por su justicia y su fidelidad; porque El SEÑOR te puso en mi mano hoy, pero yo no heriría a Su ungido.
(09) @1SA 26:24	<p-n>@1 Samuel 26:24</p-n>	Y mira, como tu vida fué preciosa en mis ojos hoy, que así mi vida sea muy valorada en los ojos del SEÑOR, y que Él me rescate de toda dificultad."
(09) @1SA 26:25	<p-n>@1 Samuel 26:25</p-n>	Entonces Saúl le dijo a David: "Que seas bendecido, David hijo mío, de tal manera que hagas grandes cosas, y que en todo tengas éxito." Así David fue por su camino, y Saúl regresó a su lugar.
(09) @1SA 27:1	<p-n>@1 Samuel 27:1</p-n>	David dijo en su corazón: "Un día moriré por manos de Saúl; no hay nada mejor para mí que escapar a la tierra de los Filisteos; Saúl se dará por vencido en buscarme más adentro de todas las fronteras de Israel; de esta manera escaparé fuera de su mano."
(09) @1SA 27:2	<p-n>@1 Samuel 27:2</p-n>	David se levantó y se fue con los seiscientos hombres que estaban con él, a Aquis hijo de Maoc, rey de Gat. 
(09) @1SA 27:3	<p-n>@1 Samuel 27:3</p-n>	David vivió con Aquis en Gat, él y sus hombres, cada cual con su propia casa y David con sus dos esposas, Ahinoam la Jezreelita, y Abigail la de Carmel, esposa de Nabal. 
(09) @1SA 27:4	<p-n>@1 Samuel 27:4</p-n>	Le dijeron a Saúl que David había huído a Gat, así que no lo buscó más.
(09) @1SA 27:5	<p-n>@1 Samuel 27:5</p-n>	David le dijo a Aquis: "Si he hallado gracia en tus ojos, permite que me den un lugar en una de las ciudades en el campo, para que yo pueda vivir allí: ¿Porqué, para qué debe de vivir tu siervo contigo en la ciudad real?" 
(09) @1SA 27:6	<p-n>@1 Samuel 27:6</p-n>	Así que Aquis le entregó Siclag aquel día; por eso es que Siclag pertenece a los reyes de Judá hasta este día. 
(09) @1SA 27:7	<p-n>@1 Samuel 27:7</p-n>	El número de días que David vivió en la tierra de los Filisteos fue un año completo y cuatro meses.
(09) @1SA 27:8	<p-n>@1 Samuel 27:8</p-n>	David y sus hombres atacaron varios lugares y tomando propiedades contra los guesuritas, los guerzitas, y los amalecitas; porque de esas naciones eran los habitantes de la tierra de Shur, tan lejos como la tierra de Egipto. Ellos habían estado viviendo allí en la tierra desde tiempos antiguos. 
(09) @1SA 27:9	<p-n>@1 Samuel 27:9</p-n>	David atacaba la tierra y no salvaba ni hombre ni mujer vivos; se llevaba las ovejas, los bueyes, los burros, los camellos, y las ropas; y regresaba otra vez a Aquis.
(09) @1SA 27:10	<p-n>@1 Samuel 27:10</p-n>	Aquis diría, "¿En contra de quién has tomado propiedades hoy?" David contestaba, "En contra del sur de Judá," o "En contra del sur de Jerameel," o "En contra del sur de los quenitas."
(09) @1SA 27:11	<p-n>@1 Samuel 27:11</p-n>	David no se quedaba ni con hombre ni con mujer vivos para traerlos a Gat, diciendo, "Para que no puedan hablar sobre nosotros, 'David hizo tal y tal." Esto era lo que él hacía todo el tiempo que vivió en el país de los Filisteos. 
(09) @1SA 27:12	<p-n>@1 Samuel 27:12</p-n>	Aquis le creyó a David, diciendo, "Él ha provocado que su pueblo de Israel lo aborrezca completamente; por lo tanto él será mi sirviente para siempre."
(09) @1SA 28:1	<p-n>@1 Samuel 28:1</p-n>	Y sucedió en aquellos días que los Filisteos reunieron sus ejércitos para hacer batalla con el pueblo de Israel. Aquis le dijo a David, "Ten por cierto que tú saldrás conmigo en el ejército, tú y tus hombres." 
(09) @1SA 28:2	<p-n>@1 Samuel 28:2</p-n>	David le dijo a Aquis, "Así sabrás lo que tu siervo puede hacer." Aquis le dijo a David, "Entonces te haré mi guardaespaldas por siempre."
(09) @1SA 28:3	<p-n>@1 Samuel 28:3</p-n>	Ahora Samuel había muerto, y todo Israel lo había lamentado y sepultado en Ramá, en su propia ciudad. También, Saúl había echado de la tierra a aquellos que hablaban con los muertos o con espíritus. 
(09) @1SA 28:4	<p-n>@1 Samuel 28:4</p-n>	Entonces los Filisteos se reunieron y vinieron y acamparon en Sunem; y Saúl reunió a todo Israel, y ellos acamparon en Gilboa.
(09) @1SA 28:5	<p-n>@1 Samuel 28:5</p-n>	Cuando Saúl vio el ejército de los Filisteos, él tenía miedo, y su corazón tembló mucho. 
(09) @1SA 28:6	<p-n>@1 Samuel 28:6</p-n>	Saúl oró al SEÑOR por ayuda, pero El SEÑOR no le contestó-- ni en sueños, ni por el Urim, ni por profetas. 
(09) @1SA 28:7	<p-n>@1 Samuel 28:7</p-n>	Entonces Saúl dijo a sus siervos, "Encuentren para mí una mujer que habla con los muertos, para que yo vaya a ella y encuentre consejo en ella. "Sus siervos le dijeron, "Mira, hay una mujer en Endor que dice que habla con los muertos."
(09) @1SA 28:8	<p-n>@1 Samuel 28:8</p-n>	Saúl se disfrazó, se puso otras ropas, y fueron dos hombres con él; ellos fueron a la mujer en la noche. Él le dijo, "Adivina para mí, te suplico, con un espirítu, y tráeme quien sea que yo te nombre." 
(09) @1SA 28:9	<p-n>@1 Samuel 28:9</p-n>	La mujer le dijo, "Tú sabes lo que Saúl ha hecho, como él ha prohibido en el país aquellos que hablan con los muertos o los espíritus. Entonces ¿por qué pones una trampa a mi vida, para que muera?" 
(09) @1SA 28:10	<p-n>@1 Samuel 28:10</p-n>	Saúl le juró a ella por El SEÑOR y le dijo, "Así como vive El SEÑOR, ningún castigo te sucederá a ti por esto."
(09) @1SA 28:11	<p-n>@1 Samuel 28:11</p-n>	Entonces la mujer dijo, "¿A quién te debo traer?" Saúl dijo, "Trae a Samuel para mí." 
(09) @1SA 28:12	<p-n>@1 Samuel 28:12</p-n>	Cuando la mujer vio a Samuel, ella lloró en voz alta y habló a Saúl, diciendo, "¿Por qué me has engañado? Tú eres Saúl."
(09) @1SA 28:13	<p-n>@1 Samuel 28:13</p-n>	El rey le dijo a ella, "No tengas miedo. ¿Qué ves?" la mujer le dijo a Saúl, "veo a un dios que sube desde la tierra." 
(09) @1SA 28:14	<p-n>@1 Samuel 28:14</p-n>	Él le dijo a ella, "¿Cómo se ve él?" Ella dijo, "Un hombre viejo está subiendo; está vestido con una túnica." Saúl percibió que era Samuel, y se postró con su cara en el suelo y le mostró respeto.
(09) @1SA 28:15	<p-n>@1 Samuel 28:15</p-n>	Samuel le dijo a Saúl, "¿Por qué me has perturbado y me has traído arriba?" Saúl contestó, "Estoy muy preocupado, pues los FIlisteos están haciendo guerra contra mí, y Dios me ha dejado y no me ha contestado más, ni por los profetas, ni por sueños. Por lo tanto te he llamado a tí, para que me digas qué debo hacer."
(09) @1SA 28:16	<p-n>@1 Samuel 28:16</p-n>	Samuel dijo, "¿Para qué entonces me preguntas a mí, si El SEÑOR te ha dejado, y Él ha llegado a ser tu enemigo? 
(09) @1SA 28:17	<p-n>@1 Samuel 28:17</p-n>	El SEÑOR te ha hecho a ti lo que Él dijo que haría. El SEÑOR ha arrebatado el reino de tu mano y lo ha entregado a alguien más a David''.
(09) @1SA 28:18	<p-n>@1 Samuel 28:18</p-n>	Porque tú no obedeciste la voz del SEÑOR y no llevaste a cabo su venganza sobre Amalec, Él entonces te ha hecho ésto hoy. 
(09) @1SA 28:19	<p-n>@1 Samuel 28:19</p-n>	Más aún, El SEÑOR entregará a Israel y a tí en las manos de los Filisteos. Mañana tú y tus hijos estarán conmigo. El SEÑOR también entregará el ejército de Israel en la mano de los Filisteos."
(09) @1SA 28:20	<p-n>@1 Samuel 28:20</p-n>	Entonces Saúl inmediatamente cayó al suelo y tenía mucho miedo por las palabras de Samuel. No había fuerzas en él, pues no había comido en todo aquel día, ni tampoco aquella noche. 
(09) @1SA 28:21	<p-n>@1 Samuel 28:21</p-n>	La mujer vino a Saúl y vió que él estaba muy preocupado, ella le dijo, "Mira, tu sierva ha esuchado tu voz; Y he puesto mi vida en peligro y yo he escuchado las palabras que me has hablado.
(09) @1SA 28:22	<p-n>@1 Samuel 28:22</p-n>	Ahora, te ruego a ti, escucha también la voz de tu sierva, y déjame poner un poco de comida delante de ti. Come para que puedas recuperar fuerzas para cuando te vayas en tu camino. 
(09) @1SA 28:23	<p-n>@1 Samuel 28:23</p-n>	Pero Saúl negó y dijo, "Yo no comeré." Pero sus siervos, junto con la mujer, le insistían, y él escuchó sus voces. Así que él se levantó del suelo y se sentó en la cama.
(09) @1SA 28:24	<p-n>@1 Samuel 28:24</p-n>	La mujer tenía un becerro gordo en la casa; ella se apresuró y lo mató; ella tomó harina, la amasó, horneó un pan sin levadura. 
(09) @1SA 28:25	<p-n>@1 Samuel 28:25</p-n>	Ella lo trajo ante Saúl y sus siervos, y ellos comieron. Entonces ellos se levantaron y se fueron esa noche.
(09) @1SA 29:1	<p-n>@1 Samuel 29:1</p-n>	Los Filisteos reunieron todo su ejército en Afec; los Israelitas acamparon junto a la corriente de agua que está en Jezreel. 
(09) @1SA 29:2	<p-n>@1 Samuel 29:2</p-n>	Los príncipes de los Filisteos se dividieron por cientos y por miles; David y sus hombres pasaban a la guardia trasera con Aquis.
(09) @1SA 29:3	<p-n>@1 Samuel 29:3</p-n>	Entonces el príncipe de los Filisteos dijo, "¿Qué están haciendo estos hebreos aquí?" Aquis le dijo a los otros príncipes de los FIlisteos: "¿No es éste David, el siervo de Saúl, el rey de Israel, que ha estado conmigo en estos días, o más bien estos años, y yo no he encontrado ninguna falta en él desde que llegó a mí hasta este día?"
(09) @1SA 29:4	<p-n>@1 Samuel 29:4</p-n>	Pero los príncipes de los Filisteos estaban molestos con él; ellos le dijeron: "Haz que ese hombre se vaya, para que regrese al lugar que tú le has dado; no lo dejes ir con nosotros a la batalla, para que él no se convierta en enemigo nuestro durante la batalla. Porque ¿de qué otra forma podrá él estar en paz con su señor? ¿No será más bien con la cabeza de nuestros hombres?
(09) @1SA 29:5	<p-n>@1 Samuel 29:5</p-n>	¿No es éste el David, de quien cantaban uno al otro danzando, diciendo: 'Saúl ha matado a sus miles, y David a sus diez mil'?"
(09) @1SA 29:6	<p-n>@1 Samuel 29:6</p-n>	Entonces Aquis llamó a David y le dijo: "Así como El SEÑOR vive, tú has sido bueno, y tu salir y entrar conmigo en el ejército es bueno delante de mis ojos; pues no he encontrado nada malo contigo desde el día que viniste a mí, hasta éste mismo día. Sin embargo, los príncipes no están a favor tuyo. 
(09) @1SA 29:7	<p-n>@1 Samuel 29:7</p-n>	Así que ahora regresa y ve en paz, para que no molestes a los príncipes de los Filisteos. "
(09) @1SA 29:8	<p-n>@1 Samuel 29:8</p-n>	David le dijo a Aquis, "¿Pero qué he hecho? ¿Qué has encontrado en tu siervo desde el tiempo que he estado ante tí hasta este día, que no puedo ir a pelear en contra de los enemigos de mi señor el rey?" 
(09) @1SA 29:9	<p-n>@1 Samuel 29:9</p-n>	Aquis contestó y le dijo a David: "Yo sé que no tienes falta ante mis ojos, como un ángel de Dios; sin embargo, los príncipes de los Filisteos han dicho: "Él no debe subir con nosotros a la batalla.'
(09) @1SA 29:10	<p-n>@1 Samuel 29:10</p-n>	Así que ahora levántate temprano en la mañana con los siervos de tu señor que han venido contigo; tan pronto te levantes temprano en la mañana y tengas luz, vete." 
(09) @1SA 29:11	<p-n>@1 Samuel 29:11</p-n>	Así que David se levantó temprano, él y sus hombres, para irse en la mañana, para regresar a la tierra de los Filisteos. Pero los Filisteos subieron a Jezreel.
(09) @1SA 30:1	<p-n>@1 Samuel 30:1</p-n>	Surgió, que cuando David y sus hombres habían llegado a Siclag en el tercer día, que los amalecitas habían hecho un ataque sobre el Neguev y en Siclag. Ellos atacaron a Siclag, lo quemaron, 
(09) @1SA 30:2	<p-n>@1 Samuel 30:2</p-n>	y capturaron las mujeres y todo el que estaba en ella, tanto pequeños y grandes. No mataron a nadie, pero se los llevaron mientras seguían su camino.
(09) @1SA 30:3	<p-n>@1 Samuel 30:3</p-n>	Cuando David y sus hombres llegaron a la ciudad, estaba quemada, y sus esposas, sus hijos, y sus hijas fueron llevados cautivos. 
(09) @1SA 30:4	<p-n>@1 Samuel 30:4</p-n>	Entonces David y la gente que estaba con él gritaron y lloraron hasta no tener más fuerza para llorar.
(09) @1SA 30:5	<p-n>@1 Samuel 30:5</p-n>	Las dos esposas de David fueron llevadas cautivas, Ahinoam la jezreelita y Abigail la esposa de Nabal el carmelita. 
(09) @1SA 30:6	<p-n>@1 Samuel 30:6</p-n>	David estaba muy angustiado, ya que la gente estaba hablando de apedrearlo, ya que toda la gente estaba en amargura de espíritu, cada hombre por sus hijos e hijas; pero David se fortaleció en El SEÑOR, su Dios.
(09) @1SA 30:7	<p-n>@1 Samuel 30:7</p-n>	David le dijo a Abiatar hijo de Ahimelec, el sacerdote: "Te ruego, trae el efod (ropa sacerdotal) aquí para mí." Abiatar trajo el efod a David. 
(09) @1SA 30:8	<p-n>@1 Samuel 30:8</p-n>	David oró al SEÑOR por dirección, diciendo: "Si persigo esta tropa, ¿los alcanzaré?" El SEÑOR le contestó: "Síguelos, porque ciertamente los alcanzarás, y con seguridad recobrarás todo."
(09) @1SA 30:9	<p-n>@1 Samuel 30:9</p-n>	Así que David fue, él y los seiscientos hombres quienes estaban con él; ellos llegaron al torrente Besor, donde algunos se quedaron ahí. 
(09) @1SA 30:10	<p-n>@1 Samuel 30:10</p-n>	Pero David continuó persiguiéndoles, él y cuatrocientos hombres; ya que doscientos se quedaron atrás, quienes estaban tan débiles que ellos no podían cruzar sobre el torrente Besor.
(09) @1SA 30:11	<p-n>@1 Samuel 30:11</p-n>	Encontraron un egipcio en un campo y lo trajeron a David; le dieron pan, y él comió; le dieron agua para beber; 
(09) @1SA 30:12	<p-n>@1 Samuel 30:12</p-n>	y ellos le dieron un pedazo de pan de higos y dos racimos de pasas. Cuando él hubo comido, recobró fuerzas, ya que no había comido pan ni bebido agua por tres días y tres noches.
(09) @1SA 30:13	<p-n>@1 Samuel 30:13</p-n>	David le dijo: ¿A quién perteneces tú? ¿De dónde vienes? Él dijo: "Yo soy un hombre joven de Egipto, sirviente de un amalecita; mi amo me dejó porque hace tres días yo caí enfermo. 
(09) @1SA 30:14	<p-n>@1 Samuel 30:14</p-n>	Hicimos un ataque en el Neguev de los cereteos, y lo que le pertenece a Judá, y el Neguev de Caleb, y nosotros quemamos a Siclag.
(09) @1SA 30:15	<p-n>@1 Samuel 30:15</p-n>	David le dijo: "¿Me llevarás donde los asaltantes? El egipcio dijo: "Júrame por Dios que tú no me matarás o traicionarás en manos de mi amo, y yo te llevaré a estos asaltantes.
(09) @1SA 30:16	<p-n>@1 Samuel 30:16</p-n>	Cuando el egipcio hubo llevado a David, los asaltantes estaban dispersos por todo el terreno, comiendo y bebiendo y bailando por todo el botín que ellos habían tomado de la tierra de los Filisteos y de la tierra de Judá. 
(09) @1SA 30:17	<p-n>@1 Samuel 30:17</p-n>	David los atacó desde la puesta de sol hasta el atardecer del próximo día. Ni un hombre escapó con excepción de cuatrocientos hombres jóvenes, quienes montaron en camellos y escaparon.
(09) @1SA 30:18	<p-n>@1 Samuel 30:18</p-n>	David recobró todo lo que los amalecitas habían tomado; y David rescató sus dos esposas. 
(09) @1SA 30:19	<p-n>@1 Samuel 30:19</p-n>	Nada faltaba, ni pequeño ni grande, ni hijos ni hijas, ni botín, ni cosa alguna que los asaltantes habían tomado para ellos mismos. David trajo todo de regreso. 
(09) @1SA 30:20	<p-n>@1 Samuel 30:20</p-n>	David tomó todos los rebaños y manadas, los cuales los hombres llevaban delante del otro ganado. Ellos dijeron: "Éste es el botín de David."
(09) @1SA 30:21	<p-n>@1 Samuel 30:21</p-n>	David vino donde estaban los doscientos hombres quienes habían estado muy débiles para seguirlo, los que se habían quedado en el torrente Besor. Estos hombres siguieron adelante para encontrarse con David y la gente que estaba con él. Cuando David vino a estas personas, él los saludó. 
(09) @1SA 30:22	<p-n>@1 Samuel 30:22</p-n>	Entonces todos los hombres malvados y compañeros sin valor entre aquellos quienes habían ido con David dijeron: "Por que estos hombres no fueron con nosotros, no les daremos nada del botín que hemos recobrado. Excepto que cada hombre puede tomar su esposa e hijos, llevárselos, e irse."
(09) @1SA 30:23	<p-n>@1 Samuel 30:23</p-n>	Entonces David dijo: "Ustedes no deben actuar de esta manera, mis hermanos, con lo que El SEÑOR nos ha dado. Él nos ha cuidado y entregado en nuestra mano los asaltantes quienes vinieron en contra de nosotros. 
(09) @1SA 30:24	<p-n>@1 Samuel 30:24</p-n>	¿Quién los escuchará a ustedes sobre este asunto? Por cuanto la parte es para cualquiera que entre en batalla, así también será la parte para cualquier persona que espera en el equipaje; ellos compartirán de forma igual." 
(09) @1SA 30:25	<p-n>@1 Samuel 30:25</p-n>	Ha sido así desde ese día hasta hoy, pues David lo hizo una ley y una norma para Israel.
(09) @1SA 30:26	<p-n>@1 Samuel 30:26</p-n>	Cuando David vino a Siclag, él envió algo del botín a los ancianos de Judá, a sus amigos, diciendo: "Aquí hay un regalo para ustedes del botín de los enemigos del SEÑOR." 
(09) @1SA 30:27	<p-n>@1 Samuel 30:27</p-n>	Él también envió algo a los ancianos quienes estaban en Betel, y a aquéllos quienes estaban en Ramot del sur, y para aquellos quienes estaban en Jatir, 
(09) @1SA 30:28	<p-n>@1 Samuel 30:28</p-n>	y para aquellos quienes estaban en Aroer, y para aquellos quienes estaban en Sifmot, y para aquellos quienes estaban en Estemoa.
(09) @1SA 30:29	<p-n>@1 Samuel 30:29</p-n>	Él también envió algo a los ancianos quienes estaban en Racal, y a aquéllos quienes estaban en las ciudades de los Jerameelitas, y para aquéllos quienes estaban en las ciudades de los Quenitas, 
(09) @1SA 30:30	<p-n>@1 Samuel 30:30</p-n>	y para aquéllos quienes estaban en Horma, y para aquéllos quienes estaban en Corasán y para aquéllos quienes estaban en Atac, 
(09) @1SA 30:31	<p-n>@1 Samuel 30:31</p-n>	y para aquéllos quienes estaban en Hebrón, y en todos los lugares donde David mismo y sus hombres habitualmente fueron.
(09) @1SA 31:1	<p-n>@1 Samuel 31:1</p-n>	Los Filisteos pelearon contra Israel. Los hombres de Israel huyeron ante los Filisteos y cayeron muertos en el Monte Gilboa. 
(09) @1SA 31:2	<p-n>@1 Samuel 31:2</p-n>	Los FIlisteos persiguieron a Saúl y sus hijos de cerca. Los Filisteos mataron a Jonatán, Abinadab, y Malquisúa, sus hijos. 
(09) @1SA 31:3	<p-n>@1 Samuel 31:3</p-n>	La batalla fué fuerte contra Saúl, y los arqueros lo hirieron. Él estaba con fuerte dolor por lo que ellos habían hecho.
(09) @1SA 31:4	<p-n>@1 Samuel 31:4</p-n>	Luego Saúl dijo al portador de su armadura, "Saca tu espada y atraviésame con ella. Si no, estos incircuncisos vendrán y abusarán de mí." Pero su escudero no lo hacía, pues él estaba muy asustado. Así que Saúl tomó su propia espada y se dejó caer sobre ella. 
(09) @1SA 31:5	<p-n>@1 Samuel 31:5</p-n>	Cuando su escudero vió que Saúl estaba muerto, él de la misma manera cayó sobre su espada y murió con él. 
(09) @1SA 31:6	<p-n>@1 Samuel 31:6</p-n>	Así que Saúl murió, sus tres hijos, y el escudero; estos hombres murieron todos juntos el mismo día.
(09) @1SA 31:7	<p-n>@1 Samuel 31:7</p-n>	Cuando los hombres de Israel que estaban en el otro lado del valle, y aquéllos más allá del Jordán, vieron que los hombres de Israel habían huído, y que Saúl y sus hijos estaban muertos, ellos abandonaron sus ciudades y huyeron, y los Filisteos vinieron y vivieron en ellas. 
(09) @1SA 31:8	<p-n>@1 Samuel 31:8</p-n>	Sucedió el siguiente día, cuando los Filisteos vinieron a despojar los muertos, que ellos encontraron a Saúl y a sus tres hijos muertos en el Monte Gilboa.
(09) @1SA 31:9	<p-n>@1 Samuel 31:9</p-n>	Ellos cortaron su cabeza y le quitaron su armadura, y enviaron mensajeros por toda la tierra de los Filisteos para que llevaran la noticia a los templos de sus ídolos y al pueblo. 
(09) @1SA 31:10	<p-n>@1 Samuel 31:10</p-n>	Ellos colocaron su armadura en el templo de Astarot, y ataron su cuerpo al muro de la ciudad de Bet Sán.
(09) @1SA 31:11	<p-n>@1 Samuel 31:11</p-n>	Cuando los habitantes de Jabes Galaad escucharon lo que los Filisteos le habían hecho a Saúl, 
(09) @1SA 31:12	<p-n>@1 Samuel 31:12</p-n>	se levantaron todos los hombres valientes y caminaron toda la noche y tomaron el cuerpo de Saúl y los cuerpos de sus hijos del muro de Bet Sán. Ellos fueron a Jabes y los quemaron allí. 
(09) @1SA 31:13	<p-n>@1 Samuel 31:13</p-n>	Entonces ellos tomaron sus huesos y los sepultaron debajo de un árbol de tamarisco en Jabes, y ayunaron por siete días.
(10) @2SA 1:1	<p-n>@2 Samuel 1:1</p-n>	Después de la muerte de Saúl, David regresó de atacar a los amalecitas y permaneció en Siclag por dos días. 
(10) @2SA 1:2	<p-n>@2 Samuel 1:2</p-n>	Al tercer día, un hombre llegó desde el campamento de Saúl con sus vestiduras rotas y con tierra en su cabeza. Cuando él llegó donde David, se acostó de cara al suelo y se postró.
(10) @2SA 1:3	<p-n>@2 Samuel 1:3</p-n>	David le dijo: "¿De dónde vienes tú?" Él contestó: "Yo escapé del campamento de Israel." 
(10) @2SA 1:4	<p-n>@2 Samuel 1:4</p-n>	David le respondió: "Por favor, dime cómo fueron las cosas." Él contestó: "El pueblo huyó de la batalla. Muchos han caído y muchos están muertos. Saúl y Jonatán, su hijo, también están muertos." 
(10) @2SA 1:5	<p-n>@2 Samuel 1:5</p-n>	David le dijo al joven: " ¿Cómo sabes tú que Saúl y Jonatán, su hijo, están muertos?"
(10) @2SA 1:6	<p-n>@2 Samuel 1:6</p-n>	El joven contestó: "Por casualidad yo estaba en el Monte Gilboa, y allí Saúl estaba rescostado en su lanza y los carruajes y jinetes estaban a punto de alcanzarlo. 
(10) @2SA 1:7	<p-n>@2 Samuel 1:7</p-n>	Saúl se volteó, me vio y me llamó. Yo contesté: 'Aquí estoy.'
(10) @2SA 1:8	<p-n>@2 Samuel 1:8</p-n>	Él me dijo a mí: '¿Quién eres?' Yo le contesté: "Soy un amalecita.' 
(10) @2SA 1:9	<p-n>@2 Samuel 1:9</p-n>	Él me dijo: 'Por favor, párate sobre mí y mátame, pues gran sufrimiento me ha sobrecogido, pero la vida está en mí todavía. 
(10) @2SA 1:10	<p-n>@2 Samuel 1:10</p-n>	Así que me paré sobre él y lo maté, porque yo sabía que él no viviría después de haber caído. Entonces, tomé la corona que estaba sobre su cabeza y la banda que estaba en su brazo y las traje aquí ante usted, mi señor."
(10) @2SA 1:11	<p-n>@2 Samuel 1:11</p-n>	Entonces, David desgarró sus vestiduras, y todos los hombres con él hicieron lo mismo. 
(10) @2SA 1:12	<p-n>@2 Samuel 1:12</p-n>	Ellos se lamentaron, lloraron y ayunaron hasta el atardecer por Saúl, porJonatán su hijo, por el pueblo del SEÑOR, y por la casa de Israel, porque ellos habían caído por medio de la espada. 
(10) @2SA 1:13	<p-n>@2 Samuel 1:13</p-n>	David le dijo al joven: "¿De dónde eres?" Él contestó: "Soy el hijo de un extranjero en la tierra, un amalecita."
(10) @2SA 1:14	<p-n>@2 Samuel 1:14</p-n>	David le dijo: "¿Por qué no tuviste miedo de matar al rey ungido del SEÑOR con tu propia mano?" 
(10) @2SA 1:15	<p-n>@2 Samuel 1:15</p-n>	David llamó a uno de los jóvenes y dijo: "Ve y mátalo." Así que ese hombre fue y lo hirió, y el amalecita murió. 
(10) @2SA 1:16	<p-n>@2 Samuel 1:16</p-n>	Luego, David le dijo al amalecita muerto: "Tu sangre está sobre tu cabeza porque tu propia boca ha testificado en contra tuya y dijo: 'He matado al rey ungido del SEÑOR.'"
(10) @2SA 1:17	<p-n>@2 Samuel 1:17</p-n>	Luego David cantó ésta canción de funeral acerca de Saúl y Jonatán, su hijo. 
(10) @2SA 1:18	<p-n>@2 Samuel 1:18</p-n>	Él le ordenó al pueblo que enseñara la Canción del Arco a los hijos de Judá, la cual ha sido escrita en El Libro de Jaser. 
(10) @2SA 1:19	<p-n>@2 Samuel 1:19</p-n>	"¡Tu gloria, Israel, está muerta, asesinada en tus lugares altos! ¡Cómo han caído los poderosos! 
(10) @2SA 1:20	<p-n>@2 Samuel 1:20</p-n>	No lo digas en Gat, no lo proclames en las calles de Ascalón, para que las hijas de los filisteos no se regocijen, para que las hijas de los incircuncisos no celebren.
(10) @2SA 1:21	<p-n>@2 Samuel 1:21</p-n>	Montañas de Gilboa, no haya rocío o lluvia en ti, ni campos dando granos para las ofrendas, pues allí el escudo de los poderosos fue profanado. El escudo de Saúl ya no está ungido con aceite. 
(10) @2SA 1:22	<p-n>@2 Samuel 1:22</p-n>	De la sangre de aquellos que fueron asesinados, de los cuerpos de los poderosos, el arco de Jonatán no retrocedió, y la espada de Saúl no regresó vacía.
(10) @2SA 1:23	<p-n>@2 Samuel 1:23</p-n>	Saúl y Jonatán fueron amados y amables en la vida, y en sus muertes no fueron separados. Ellos eran más veloces que las águilas, eran más fuertes que los leones. 
(10) @2SA 1:24	<p-n>@2 Samuel 1:24</p-n>	Ustedes, hijas de Israel, lloren sobre Saúl, quien las vistió en escarlata así como con joyas, y quien puso ornamentos de oro en sus vestidos.
(10) @2SA 1:25	<p-n>@2 Samuel 1:25</p-n>	¡Cómo han caído los poderosos en medio de la batalla! Jonatán es asesinado en tus lugares altos. 
(10) @2SA 1:26	<p-n>@2 Samuel 1:26</p-n>	Yo estoy angustiado por ti, mi hermano Jonatán. Tú fuiste muy apreciado por mí. Tu amor para mí fue maravilloso, excediendo el amor de las mujeres. 
(10) @2SA 1:27	<p-n>@2 Samuel 1:27</p-n>	¡Como los poderosos han caído, y las armas de guerra perecieron!"
(10) @2SA 2:1	<p-n>@2 Samuel 2:1</p-n>	Luego de esto, David le preguntó al SEÑOR y dijo: "¿Debo yo subir a una de las ciudades de Judá?" El SEÑOR le respondió a él: "Sube." David dijo: "¿A qué ciudad debo yo ir?" El SEÑOR respondió: "A Hebrón." 
(10) @2SA 2:2	<p-n>@2 Samuel 2:2</p-n>	Entonces David subió con sus dos esposas, Ahinoham de Jezreel, y Abigail de Carmel, la viuda de Nabal. 
(10) @2SA 2:3	<p-n>@2 Samuel 2:3</p-n>	David trajo los hombres que estaban con él, cada uno de los cuales trajo a su familia, a las ciudades de Hebrón, donde ellos empezaron a vivir.
(10) @2SA 2:4	<p-n>@2 Samuel 2:4</p-n>	Entonces, hombres de Judá vinieron y ungieron a David rey sobre la casa de Judá. Ellos le dijeron a David: "Los hombres de Jabes Galaad han sepultado a Saúl." 
(10) @2SA 2:5	<p-n>@2 Samuel 2:5</p-n>	Así que David envió mensajeros a los hombres de Jabes Galaad y les dijo a ellos: "Ustedes son bendecidos por el SEÑOR, ya que ustedes han mostrado esta lealtad a su amo Saúl y lo han sepultado.
(10) @2SA 2:6	<p-n>@2 Samuel 2:6</p-n>	Ahora, que el SEÑOR les muestre a ustedes pacto de lealtad y fidelidad. Yo también les mostraré a ustedes esta bondad porque ustedes han hecho esta cosa. 
(10) @2SA 2:7	<p-n>@2 Samuel 2:7</p-n>	Ahora pues, que sus manos sean fuertes; sean valerosos pues Saúl su amo está muerto, y la casa de Judá me ha ungido como rey sobre ellos."
(10) @2SA 2:8	<p-n>@2 Samuel 2:8</p-n>	Pero Abner, hijo de Ner, comandante del ejército de Saúl, tomó a Isboset, hijo de Saúl, y lo trajo a Mahanaim. 
(10) @2SA 2:9	<p-n>@2 Samuel 2:9</p-n>	Él hizo a Isboset rey sobre Galaad, Gesuri, Jezreel, Efraín, Benjamín, y sobre todo Israel.
(10) @2SA 2:10	<p-n>@2 Samuel 2:10</p-n>	Isboset, hijo de Saúl, tenía cuarenta años cuando comenzó a reinar sobre Israel, y reinó dos años. Pero la casa de Judá siguió a David. 
(10) @2SA 2:11	<p-n>@2 Samuel 2:11</p-n>	El tiempo que David fue rey en Hebrón sobre la casa de Judá fue siete años y seis meses.
