ແລະ	26235
ທີ່	19056
ໃນ	17044
ການ	16888
ຂອງ	15443
ໄດ້	15322
ມີ	14466
ຈະ	9081
ໃຫ້	9024
ເປັນ	8904
ລາວ	8692
ປີ	8203
ທ່ານ	7779
ນີ້	7420
ຄົນ	7244
ວ່າ	6916
ແມ່ນ	5750
ນັ້ນ	5679
ຈາກ	5332
ສະ	5151
ແລ້ວ	4690
ແຕ່	4647
ກໍ	4399
ກັບ	4377
ມາ	4369
ໂດຍ	4267
ຢູ່	4070
ເພື່ອ	4055
ກໍ່	4014
ໄປ	4010
ລິ	4005
ໃຊ້	3820
ວັນທີ	3754
ທີ	3546
ຈີນ	3422
ຄື	3376
ຄຳ	3320
ຄວາມ	3311
ຢ່າງ	3134
ບໍ່	3044
ເຮົາ	3001
ຕໍ່	2917
ເຫັນ	2811
ເມືອງ	2782
ຕາມ	2779
ປະເທດ	2748
ເມື່ອ	2725
ຕ້ອງ	2647
ຫລາຍ	2609
ມັນ	2550
ແຂວງ	2528
ກັນ	2376
ຍັງ	2374
ປະຊາຊົນ	2363
ກຳ	2347
ເຊິ່ງ	2254
ອີກ	2213
ສາມາດ	2183
ກວ່າ	2173
ດ້ວຍ	2170
ທາງ	2169
ຫລື	2166
ສ້າງ	2160
ລັດ	2148
ຜູ້	2139
ດັ່ງກ່າວ	2104
ຕະ	2078
ແບບ	2044
ແຫ່ງ	2036
ພັດທະນາ	2018
ເຂົ້າ	1974
ຕ່າງໆ	1962
ຜະລິດ	1933
ອ່ານ	1922
ເວລາ	1906
ເຮັດໃຫ້	1889
ຕາ	1881
ຂຶ້ນ	1867
ນຳ	1867
ຖືກ	1845
ສົ່ງ	1841
ເຖິງ	1806
ສ່ວນ	1768
ວຽງຈັນ	1764
ບົດ	1749
ມີການ	1749
ດີ	1717
ຂະ	1699
ລວມ	1693
ໄດ້ຮັບ	1688
ດ້ານ	1687
ກະ	1683
ຂ່າວ	1659
ອັນ	1641
ລ້ານ	1611
ຄັ້ງ	1589
ຖ້າ	1586
ຂໍ້	1581
ເດືອນ	1573
ພາກ	1568
ລະ	1543
ບັນດາ	1538
ບ້ານ	1523
ຄະນະ	1520
ຜົນ	1507
ເຮັດ	1500
ທາ	1497
ປະຕິບັດ	1492
ນາງ	1473
ໂລກ	1472
ກ່ຽວຂ້ອງ	1471
ກີບ	1453
ງານ	1452
ໂຄງການ	1449
ພາສາ	1443
ພາບ	1440
ທັງ	1415
ພັກ	1412
ປະມານ	1411
ປະ	1400
ໃສ່	1396
ພັນ	1374
ເພາະ	1373
ກ່ຽວກັບ	1371
ໄຊ	1337
ອອກ	1318
ລົງ	1303
ມູນ	1296
ຊ່ວຍ	1294
ແກ່	1294
ຂຽນ	1264
ເລີຍ	1253
ຂ້ອຍ	1252
ໄທ	1245
ກະຊວງ	1244
ເຊັ່ນ	1242
ເອົາ	1234
ຜ່ານມາ	1223
ມື້	1219
ວັນ	1218
ສອງ	1216
ການຄ້າ	1214
ບໍລິສັດ	1205
ປັດຈຸບັນ	1204
ບໍ່ໄດ້	1204
ນັກ	1175
ສຳລັບ	1175
ກອງປະຊຸມ	1173
ຈຳນວນ	1148
ຈັດ	1144
ບໍ່ມີ	1136
ພະ	1131
ວະ	1131
ຫາ	1130
ບັນຫາ	1124
ລະບົບ	1123
ເຂດ	1115
ຕອນ	1111
ກ່າວ	1111
ບັນ	1110
ສັງຄົມ	1087
ເສດຖະກິດ	1085
ເຈົ້າ	1085
ລະຫວ່າງ	1077
ມະ	1072
ນ້ຳ	1071
ຮ່ວມມື	1067
ເຂົ້າຮ່ວມ	1066
ປູກ	1062
ສະນັ້ນ	1054
ຊາຍ	1052
ຂ້າ	1051
ແຫ່ງຊາດ	1050
ວຽກງານ	1045
ກະສິ	1029
ໃຫມ່	1025
ນະຄອນຫລວງ	1023
ຕື້	1021
ອື່ນໆ	1016
ລະດັບ	1001
ລັດຖະບານ	1000
ຫນ້າ	997
ເທືອ	996
ຈັດຕັ້ງ	972
ເລື່ອງ	972
ຮັກ	971
ກ່ອນ	969
ຊາວ	965
ອົງການ	953
ກຸ່ມ	952
ໂຕ	946
ຄອບຄົວ	932
ເພງ	930
ຕົວ	928
ສະພາບ	924
ໄວ້	924
