definisi berputar	<p-n>noun</p-n> definisi yang tidak dapat dipahami karena tidak ada yang diberi definisi, biasanya hanya diberi sinonim; definisi melingkar
definisi biverbal	<p-n>noun</p-n> definisi yang berupa sinonim atau padanan kata
definisi demonstratif	<p-n>noun</p-n> definisi yang berupa penunjukan objek, benda, atau peristiwa konkretnya
definisi melingkar	<p-n>noun</p-n> definisi berputar
definisi metaforis	<p-n>noun</p-n> definisi berupa pemberian kiasan atau tamsilnya
definisi nominal	<p-n>noun</p-n> definisi berupa makna kata dengan keterangan turunan dan pemakaian kata itu
definisi ostensif	<p-n>noun</p-n> cara menggambarkan suatu konsep dengan mengucapkannya, menunjuknya, atau mengisyaratkannya
definisi riil	<p-n>noun</p-n> proses atau hasil menyatakan makna kata dengan memerinci unsur-unsur konsepnya
definisikan	<p-n>verb</p-n> bentuk transitif dari mendefinisikan<div class="form_of">Form of: mendefinisikan</div>
definisikanlah	<p-n>verb</p-n> bentuk imperatif dari definisikan<div class="form_of">Form of: definisikan</div>
definit	<p-n>adj</p-n> tertentu; pasti
definitif	<p-n>adj</p-n> sudah pasti (bukan untuk sementara):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Gubernur baru untuk provinsi itu belum ditetapkan secara definitif oleh Menteri</div></div>
defisien	<p-n>adj</p-n> <ol><li>kurang; tidak sempurna<br></li><li>kurang baik<br></li></ol>
defisit	<p-n>noun</p-n> kekurangan (dalam anggaran belanja)
defisit wisatawan	<p-n>noun</p-n> kondisi peredaran uang wisatawan yang pergi ke luar negeri lebih banyak jumlahnya daripada uang wisatawan yang masuk
deflagrasi	<p-n>noun</p-n> <ol><li>proses pembakaran yang berlangsung dalam waktu singkat, biasanya disertai nyala yang terang dan suara gemertak<div class="tags"><b>chemistry</b></div><br></li><li>pembersihan baja dengan panas berukuran tinggi<br></li></ol>
deflagrator	<p-n>noun</p-n> alat elektromagnetik yang dengan pengadaan panas berukuran tinggi, digunakan untuk membakar bahan yang mudah meledak, membersihkan baja, dsb.
deflasi	<p-n>noun</p-n> <ol><li>penambahan nilai mata uang, antara lain, dengan pengurangan jumlah uang kertas yang beredar dengan tujuan mengembalikan daya beli uang yang nilainya menurun; gejala perekonomian yang merupakan akibat keadaan tersebut, seperti penurunan produksi, langkanya lapangan kerja, rendahnya daya beli masyarakat<div class="tags"><b>economy</b></div><br></li><li>pemindahan atau pengangkutan bahan (pasir, abu) oleh angin<div class="tags"><b>geology</b></div><br></li></ol><div>Antonyms: <p-a>inflasi</p-a></div>
defleksi	<p-n>noun</p-n> <ol><li>penyimpangan arah, misal penyimpangan arah angin yang disebabkan oleh rotasi bumi<br></li><li>hilangnya infleksi, misal bila dua akhiran kasus bergabung menjadi satu<div class="tags"><b>linguistics</b></div><br></li><li>terjadinya pergantian morfem inflektif oleh unsur lain<div class="tags"><b>linguistics</b></div><br></li></ol>
deflorasi	<p-n>noun</p-n> perobekan selaput dara (pada saat persetubuhan, pemeriksaan vagina, manipulasi seksual)
defoliasi	<p-n>noun</p-n> penggundulan pohon; perontokan daun
defonologisasi	<p-n>noun</p-n> hilangnya kontras antara beberapa fonem dalam sejarah suatu bahasa<div class="tags"><b>linguistics</b></div>
deformasi	<p-n>noun</p-n> perubahan bentuk atau wujud dari yang baik menjadi kurang baik:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Wayang kulit ini adalah deformasi dari wayang Timur kuno</div></div>
deformatif	<p-n>adj</p-n> bersifat deformasi; bersifat mengubah bentuk:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Orang terperangah pada karya seni deformatif dari seniman itu</div></div>
degam	<p-n>noun</p-n> tiruan bunyi guruh, meriam, dsb.:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Degamnya terdengar juga dari sini</div></div>
degan	<p-n>noun</p-n> buah kelapa muda
degap	@degap-degap	<p-n>noun</p-n> <ol><li>tiruan bunyi papan dipukul<br></li><li>tiruan bunyi debaran jantung<br></li></ol>
degap	<p-n>adj</p-n> <p-n>archaic</p-n> tegap; gagah:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Penjaga gudang itu degap dan galak</div></div>
degap-degap	<p-n>verb</p-n> berbagai-bagai bunyi degap
degar	<p-n>noun</p-n> tiruan bunyi petir, meriam, kayu dipukul, pintu didobrak, dsb.
degen	<p-n>noun</p-n> pedang, baik dengan satu mata maupun dua mata (digunakan dalam olahraga anggar)<div class="tags"><b>sports</b></div>
degenerasi	<p-n>noun</p-n> <ol><li>kemunduran atau kemerosotan generasi (tidak sebaik generasi sebelumnya):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Penggunaan obat bius di kalangan anak-anak muda dapat mengakibatkan degenerasi</div></div><br></li><li>kemunduran, perubahan menjadi sesuatu yang rusak<div class="tags"><b>medicine</b></div><br></li></ol>
degeneratif	<p-n>adj</p-n> bersifat degenerasi
degil	<p-n>adj</p-n> tidak mau menuruti nasihat orang; keras kepala; kepala batu:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Anak ini memang degil, tidak bisa dinasihati</div></div>
degradasi	<p-n>noun</p-n> kemunduran, kemerosotan, penurunan, dan sebagainya (tentang mutu, moral, pangkat, dan sebagainya)
degresi	<p-n>noun</p-n> penyimpangan
deguk	<p-n>noun</p-n> tiruan bunyi orang meneguk air
degum	<p-n>noun</p-n> tiruan bunyi tembakan meriam
degum degam	<p-n>noun</p-n> berbagai-bagai bunyi degum
degung	<p-n>noun</p-n> <ol><li>tiruan bunyi gong dsb.<br></li><li>gamelan Sunda:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Irama degung menyambut kedatangan mempelai yang berpakaian adat Cirebon</div></div><br></li></ol>
degup	<p-n>noun</p-n> <ol><li>tiruan bunyi benda, seperti kopor jatuh ke tanah<br></li><li>tiruan bunyi denyut jantung yang keras<br></li></ol>
deham	<p-n>noun</p-n> tiruan bunyi seperti batuk kecil tertahan
dehem	<p-n>noun</p-n> deham
dehidrasi	<p-n>noun</p-n> <ol><li>proses membuang molekul air dari hablur atau senyawa atau reaksi kimia<div class="tags"><b>chemistry</b></div><br></li><li>kehilangan cairan tubuh<br></li></ol>
dehidrat	<p-n>noun</p-n> keadaan telah dikeluarkan airnya seperti serbuk telur yang dibuat dari telur<div class="tags"><b>chemistry</b></div>
dehidrogenasi	<p-n>noun</p-n> pengurangan atom hidrogen dalam suatu senyawa<div class="tags"><b>chemistry</b></div>
dehumanisasi	<p-n>noun</p-n> penghilangan harkat manusia
deideologisasi	<p-n>noun</p-n> berhentinya proses pendalaman (penyebaran) ideologi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Negara itu dalam melaksanakan politik luar negerinya sekarang tidak akan melakukan deideologisasi</div></div>
deifikasi	<p-n>noun</p-n> pendewaan
deiksis	<p-n>noun</p-n> hal atau fungsi menunjuk sesuatu di luar bahasa; kata yang mengacu kepada persona, waktu, dan tempat suatu tuturan<div class="tags"><b>linguistics</b></div>
deiktis	<p-n>adj</p-n> bersangkutan dengan atau mempunyai sifat deiksis
deislamisasi	<p-n>noun</p-n> penghilangan harkat Islam:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Mereka berusaha merusak ajaran Islam dari dalam dengan menggerogoti nilai-nilai Islam yang disebut deislamisasi</div></div>
deisme	<p-n>noun</p-n> pandangan hidup atau ajaran yang mengakui adanya Tuhan sebagai pencipta alam semesta, tetapi tidak mengakui agama karena ajarannya didasarkan atas keyakinannya pada akal dan kenyataan hidup
dek	<p-n>noun</p-n> <ol><li>geladak kapal<br></li><li><p-n>archaic</p-n> oleh karena; oleh sebab<br></li></ol>
dekaare	<p-n>noun</p-n> satuan ukuran 10 are
dekade	<p-n>noun</p-n> [[]]<br><div>Synonyms: <p-a>dasawarsa</p-a></div>
dekaden	<p-n>adj</p-n> <ol><li>dalam keadaan merosot (mundur)<br></li><li>jatuh; merosot (tentang akhlak dsb.)<br></li></ol>
dekadensi	<p-n>noun</p-n> kemerosotan (tentang akhlak); kemunduran (tentang seni, sastra)
dekagram	<p-n>noun</p-n> satuan ukuran berat (massa) 10 gram (disingkat dag)
dekaliter	<p-n>noun</p-n> satuan ukuran isi 10 liter (disingkat dal)
dekameter	<p-n>noun</p-n> satuan ukuran panjang 10 m (disingkat dam)
dekan	<p-n>noun</p-n> ulat pemakan buluh; "Rhizomys sumatransis"
dekanal	<p-n>noun</p-n> aldehida dengan 10 atom karbon<div class="tags"><b>chemistry</b></div>
dekantasi	<p-n>noun</p-n> proses mengenapkan semua endapan, kemudian menuang hati-hati cairan di atas endapan sehingga endapan tetap tinggal dalam wadah semula<div class="tags"><b>chemistry</b></div>
dekap	<p-n>verb</p-n> peluk; lekap
dekap	<p-n>adj</p-n> dekat
dekapan	<p-n>noun</p-n> <ol><li>hasil mendekap<br></li><li>hal (perbuatan) mendekap<br></li></ol>
dekapkan	<p-n>verb</p-n> bentuk transitif dari mendekapkan<div class="form_of">Form of: mendekapkan</div>
dekapkanlah	<p-n>verb</p-n> bentuk imperatif dari dekapkan<div class="form_of">Form of: dekapkan</div>
dekapoda	<p-n>noun</p-n> binatang beruas dengan 10 kaki
dekat	<p-n>adj</p-n> [[]]<br><div>Synonyms: <p-a>damping</p-a></div><div>Antonyms: <p-a>jauh</p-a></div>
dekat rezekinya	<p-n>noun</p-n> <p-n>figuratively</p-n> lekas (mudah) mencari untung
dekat-dekat	<p-n>adv</p-n> <p-n>slang</p-n> terlalu dekat; rapat-rapat<br><div>Antonyms: <p-a>jauh-jauh</p-a></div>
dekati	<p-n>verb</p-n> bentuk transitif dari mendekati<div class="form_of">Form of: mendekati</div>
dekatkan	<p-n>verb</p-n> bentuk transitif dari mendekatkan<div class="form_of">Form of: mendekatkan</div>
dekatkanlah	<p-n>verb</p-n> bentuk imperatif dari dekatkan<div class="form_of">Form of: dekatkan</div>
dekatku	<p-n>noun</p-n> bentuk posesif orang pertama dari dekat; dekat saya/aku<div class="form_of">Form of: aku</div>
dekatmu	<p-n>noun</p-n> bentuk posesif orang kedua dari dekat; dekat kamu/Anda<div class="form_of">Form of: kedua</div>
dekatnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari dekat; dekat dia/orang tersebut<div class="form_of">Form of: ketiga</div>
dekik	<p-n>noun</p-n> lekuk kecil (terutama pada pipi); lesung pipi
dekil	<p-n>adj</p-n> sangat kotor; berdaki; kumal:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Baju itu sangat dekil, rupanya sudah lama tidak dicuci</div></div>
deklamasi	<p-n>noun</p-n> penyajian sajak yang disertai lagu dan gaya
deklamasian	<p-n>noun</p-n> hasil mendeklamasikan
deklamasikan	<p-n>verb</p-n> bentuk transitif dari mendeklamasikan<div class="form_of">Form of: mendeklamasikan</div>
deklamasikanlah	<p-n>verb</p-n> bentuk imperatif dari deklamasikan<div class="form_of">Form of: deklamasikan</div>
deklamator	<p-n>noun</p-n> orang yang mendeklamasikan sajak
deklarasi	<p-n>noun</p-n> <ol><li>pernyataan ringkas dan jelas (tentang suatu hal):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Konferensi itu telah menghasilkan deklarasi yang terdiri atas sepuluh pasal</div></div><br></li><li>keterangan lengkap tentang uang, biaya perjalanan, barang yang masuk, dsb.<br></li></ol>
deklarasi nasional	<p-n>noun</p-n> deklarasi yang diumumkan secara nasional:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Sikap kelompok ketiga ini tercermin di dalam deklarasi nasional yang dinyatakan oleh ketuanya</div></div>
deklarasikan	<p-n>verb</p-n> bentuk transitif dari mendeklarasikan<div class="form_of">Form of: mendeklarasikan</div>
deklarasikanlah	<p-n>verb</p-n> bentuk imperatif dari deklarasikan<div class="form_of">Form of: deklarasikan</div>
deklaratif	<p-n>adj</p-n> bersifat pernyataan ringkas dan jelas
deklasifikasi	<p-n>noun</p-n> hal membuat sesuatu yang dirahasiakan menjadi sesuatu yang tidak begitu atau sama sekali tidak rahasia lagi misal dokumen resmi
deklerer	<p-n>noun</p-n> pemimpin permainan (bridge)
deklinasi	<p-n>noun</p-n> <ol><li>perubahan ke arah yang lebih kecil, lemah, atau rendah<br></li><li>sudut yang dibentuk oleh jarum magnet (pada kompas) dengan arah utara<div class="tags"><b>physics</b></div><br></li><li>sistem fleksi mengenai bentuk (nomina, adjektiva, pronomina, dsb.) untuk menyatakan perbedaan kategori (genus atau kasus)<div class="tags"><b>linguistics</b></div><br></li><li>jarak sudut pada bola langit antara benda langit dan ekuator langit, diukur pada meridian yang melalui benda langit itu<div class="tags"><b>geology</b></div><br></li></ol><div>Antonyms: <p-a>inklinasi</p-a></div>
deklinasi kompas	<p-n>noun</p-n> sudut yang diapit oleh jarum magnet dan meridian geografis tempat tertentu
deklinasi kuat	<p-n>noun</p-n> deklinasi nomina dan adjektiva dalam bentuk tidak teratur dalam bahasa Jerman<div class="tags"><b>linguistics</b></div>
deklinasi lemah	<p-n>noun</p-n> deklinasi nomina dan adjektiva dalam bentuk teratur dalam bahasa Jerman<div class="tags"><b>linguistics</b></div>
deklinasi negatif	<p-n>noun</p-n> deklinasi yang terletak di belahan selatan langit, yaitu mulai dari ekuator sampai ke kutub selatan langit<div class="tags"><b>geology</b></div>
deklinasi positif	<p-n>noun</p-n> deklinasi yang terletak di belahan utara langit, diukur mulai dari ekuator sampai ke kutub utara langit<div class="tags"><b>geology</b></div>
deklinometer	<p-n>noun</p-n> alat untuk mengukur keanekaan posisi jarum magnetik
dekode	<p-n>noun</p-n> pengubahan informasi dari bentuk sandi dsb. ke dalam bahasa yang dikenal
dekode	<p-n>noun</p-n> pengubahan suatu sistem kode ke sistem kode yang lain; awakode
dekode	<p-n>verb</p-n> menemukan (menafsirkan) makna atau arti suatu pesan dalam bahasa (rahasia); mengurai (menjabarkan) kode atau bahasa; awakode
dekoder	<p-n>noun</p-n> <ol><li>ahli sandi<br></li><li>alat untuk membaca sandi balik<br></li><li>pesawat tambahan untuk menangkap siaran televisi<br></li></ol>
dekolonisasi	<p-n>noun</p-n> penghapusan daerah jajahan
dekomposer	<p-n>noun</p-n> beberapa jenis organisme (seperti beberapa macam bakteri dan jamur) yang memecah kembali menjadi unsur atau zat organik dalam rangka daur ekologi dengan hidup dari atau merusak protoplasma yang mati
dekomposisi	<p-n>noun</p-n> proses perubahan menjadi bentuk yang lebih sederhana; penguraian<div class="tags"><b>chemistry</b></div>
dekompresi	<p-n>noun</p-n> pengurangan atau peniadaan tekanan
dekongestan	<p-n>noun</p-n> penyembuh pengembangan urat darah
dekonsentrasi	<p-n>noun</p-n> pelimpahan wewenang dari pemerintah, kepala wilayah, instansi vertikal tingkat atas kepada pejabat daerah<div class="tags"><b>politics</b></div>
dekontekstualisasi	<p-n>noun</p-n> <p-n>literary</p-n> jarak waktu yang memisahkan pembaca teks dengan teks yang ditelitinya sebagai tidak adanya kemungkinan pembaca bertanya secara langsung tentang teks yang ditelitinya:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dekontekstualisasi muncul karena perbedaan situasi yang dialami pembaca dan saat teks itu sendiri dibuat</div></div>
dekor	<p-n>noun</p-n> <ol><li>perlengkapan panggung teater yang diatur sedemikian rupa sehingga menggambarkan tempat kejadian<div class="tags"><b>arts</b></div><br></li><li>latar belakang suara (dalam siaran sandiwara radio)<div class="tags"><b>arts</b></div><br></li><li>hiasan<br></li></ol>
dekorasi	<p-n>noun</p-n> <ol><li>setiap bagian dari perlengkapan dekor panggung teater<br></li><li>hiasan atau perhiasan sementara dari ruangan, gedung, jalan, dsb.<br></li></ol>
dekoratif	<p-n>adj</p-n> berkenaan dengan dekorasi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">bunga-bunga yang dipasang di sudut itu menciptakan efek dekoratif</div></div>
dekorator	<p-n>noun</p-n> <ol><li>orang yang mengerjakan dekorasi; penghias panggung teater<br></li><li>orang yang merancang dekorasi untuk etalase, stan, dsb. dan yang sekaligus mengerjakannya<br></li></ol>
dekosistem	<p-n>noun</p-n> sistem hubungan timbal balik antara jasad hidup dan lingkungannya
dekremeter	<p-n>noun</p-n> alat untuk mengukur peredaman gerak ayunan
dekreolisasi	<p-n>noun</p-n> proses peleburan sebuah kreol ke dalam pijin semula dan terjadi apabila kreol itu bertemu dengan pijin semula<div class="tags"><b>linguistics</b></div>
dekret	<p-n>noun</p-n> keputusan (ketetapan) atau perintah yang dikeluarkan oleh kepala negara, pengadilan, dsb.
dekret Presiden	<p-n>noun</p-n> putusan yang dikeluarkan oleh Presiden republik Indonesia, 5 Juli 1959
dekretkan	<p-n>verb</p-n> bentuk transitif dari mendekretkan<div class="form_of">Form of: mendekretkan</div>
dekretkanlah	<p-n>verb</p-n> bentuk imperatif dari dekretkan<div class="form_of">Form of: dekretkan</div>
dekriminalisasi	<p-n>noun</p-n> penggolongan suatu perbuatan yang pada mulanya dianggap sebagai peristiwa pidana, tetapi kemudian dianggap sebagai perilaku biasa
deksa	<p-n>noun</p-n> <ol><li>bangunan yang kuat<br></li><li>bagian dari patung<br></li></ol>
dekstrin	<p-n>noun</p-n> zat rekat yang diperoleh dari penguraian pati
dekstrosa	<p-n>noun</p-n> gula yang ditemukan di dalam tumbuhan dan dalam darah, digunakan dalam pembuatan bir dan dalam kue<div class="tags"><b>chemistry</b></div>
deksura	<p-n>adj</p-n> kurang ajar; tidak tahu sopan santun
dekunci	<p-n>noun</p-n> <p-n>archaic</p-n> nama tumbuhan; temu kunci; "Gastrochilus pandurata"
dekung	<p-n>noun</p-n> tiruan bunyi gong dipukul; degung
dekut	<p-n>noun</p-n> tiruan bunyi burung merpati atau tekukur
delabialisasi	<p-n>noun</p-n> penghilangan labialisasi<div class="tags"><b>linguistics</b></div>
delah	<p-n>noun</p-n> ikan laut jenis ikan pisang-pisang
delamak	<p-n>noun</p-n> kain penutup tudung saji yang bersulam (benang emas)
delan	<p-n>noun</p-n> kerut atau riak kecil pada permukaan air yang disebabkan oleh ikan yang ada di dalam air
delap	<p-n>noun</p-n> <ol><li>api dan asap yang keluar dari mulut senapan pada saat ditembakkan<br></li><li><p-n>archaic</p-n> suka meminta sesuatu kepada orang lain tanpa mempunyai rasa malu<br></li></ol>
delap	<p-n>adj</p-n> <p-n>archaic</p-n> suka meminta sesuatu kepada orang lain tanpa mempunyai rasa malu
delapan belas	<p-n>noun</p-n> <ol><li>sepuluh ditambah delapan<br></li><li>bilangan bulat setelah tujuh belas dan sebelum sembilan belas<br></li></ol>
delas	<p-n>noun</p-n> tanah yang semula dibuka dan dikerjakan, kemudian ditinggalkan sehingga ditumbuhi kembali oleh semak belukar dan pepohonan
delegasi	<p-n>noun</p-n> <ol><li>orang (orang) yang ditunjuk dan diutus oleh suatu perkumpulan (negara dsb.) dalam suatu perundingan (musyawarah dsb.); perutusan<br></li><li>penyerahan atau pelimpahan wewenang<div class="tags"><b>commerce</b></div><br></li><li>pelimpahan wewenang<div class="tags"><b>administration</b></div><br></li></ol>
delegasi wewenang	<p-n>noun</p-n> penyerahan wewenang dari atasan kepada bawahan dalam lingkungan tugas tertentu dengan kewajiban mempertanggung-jawabkannya kepada yang menugasi
delegasikan	<p-n>verb</p-n> bentuk transitif dari mendelegasikan<div class="form_of">Form of: mendelegasikan</div>
delegasikanlah	<p-n>verb</p-n> bentuk imperatif dari delegasikan<div class="form_of">Form of: delegasikan</div>
delegat	<p-n>noun</p-n> utusan; duta istimewa
delegitimasi	<p-n>noun</p-n> ketidakabsahan; pembatalan
delepak	<p-n>noun</p-n> lampu yang tempat minyaknya terbuat dari piring tanah dengan sumbu kecil, dan menggunakan minyak kelapa sebagai bahan bakar
deler	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>gelar anggota Dewan Hindia Belanda
delik	<p-n>noun</p-n> pohon yang tingginya mencapai 20 m, berbatang besar, bercabang banyak dan tidak lurus; temberos; "Memecylon caloneuron"
delik aduan	<p-n>noun</p-n> pelanggaran (perbuatan, tindak pidana) berupa penghinaan (fitnah atau pencemaran) yang dilakukan secara tertulis atau lisan terhadap nama seseorang dan dapat dituntut di depan pengadilan jika ada pengaduan dari yang merasa dirugikan nama baiknya
delik air	<p-n>noun</p-n> pohon kecil; bangas putih; delima burung; Memecylon dichotomum
delik bangas	<p-n>noun</p-n> pohon kecil; medang nasi-nasi; Memecylon edule
delik bukit	<p-n>noun</p-n> pohon kecil; medang berunit; Anisophyllea apetala
delik jambu putih	<p-n>noun</p-n> pohon kecil; api-api hutan; kelat batu; Memecylon coeruleum
delik limau manis	<p-n>noun</p-n> delik bukit
delik pers	<p-n>noun</p-n> tulisan dalam surat kabar atau media pers lainnya yang melanggar undang-undang
delik putih	<p-n>noun</p-n> delik bangas
delik susila	<p-n>noun</p-n> delik berupa pelanggaran susila
delik tembaga	<p-n>noun</p-n> delik bukit
delikan	<p-n>noun</p-n> petak umpet
delikat	<p-n>adj</p-n> lembut; mudah tersinggung
delikates	<p-n>noun</p-n> makanan atau penganan yang lezat cita rasanya; kudapan yang sedap-sedap
delima	<p-n>noun</p-n> <ol><li>tumbuhan perdu dengan cabang yang rendah dan berduri jarang, daunnya kecil-kecil agak kaku berwarna hijau berkilap, buahnya berkulit kekuning-kuningan sampai merah tua, dapat dimakan, kalau masak merekah; "Punica granatum"<br></li><li>buah pohon delima; cempaka tanjung<br></li></ol>
delima burung	<p-n>noun</p-n> bangas putih, delik air; Memecylon dichotomum
delima gading	<p-n>noun</p-n> pohon delima yang kecil buahnya dan dipakai untuk obat
delima hutan	<p-n>noun</p-n> pohon kecil; cempaka tanjung; Gardenia tubifera
delima katik	<p-n>noun</p-n> pohon delima yang kecil (kerdil)
delima kuning	<p-n>noun</p-n> pohon delima yang daging buahnya kuning
delima merah	<p-n>noun</p-n> pohon delima yang daging buahnya merah
delima putih	<p-n>noun</p-n> pohon delima yang bunga dan daging buahnya berwarna putih
delima serikaya	<p-n>noun</p-n> nangka belanda yang buahnya tidak berduri
delimaku	<p-n>noun</p-n> bentuk posesif orang pertama dari delima; delima saya/aku<div class="form_of">Form of: aku</div>
delimanya	<p-n>noun</p-n> bentuk posesif orang ketiga dari delima; delima dia/orang tersebut<div class="form_of">Form of: ketiga</div>
delineasi	<p-n>noun</p-n> penggambaran hal penting dengan garis dan lambang (tentang peta dsb.)
delinkuen	<p-n>adj</p-n> bersifat selalu melanggar aturan
delinkuen	<p-n>noun</p-n> pelanggar sosial yang terbatas pada anak-anak di bawah umur
delinkuensi	<p-n>noun</p-n> tingkah laku yang menyalahi secara ringan norma dan hukum yang berlaku dalam suatu masyarakat<div class="tags"><b>law</b></div>
delirium	<p-n>noun</p-n> gangguan mental yang ditandai oleh ilusi, halusinasi, ketegangan otak, dan kegelisahan fisik
delman	<p-n>noun</p-n> kereta beroda dua yang ditarik kuda; dokar
delta	<p-n>noun</p-n> <ol><li>tanah endapan berbentuk segitiga di muara sungai<div class="tags"><b>geology</b></div><br></li><li>nama huruf ke-4 abjad Yunani<br></li></ol>
delta	<p-n>noun</p-n> nama huruf ke-4 abjad Yunani
deltoid	<p-n>adj</p-n> <ol><li>berbentuk segitiga<br></li><li>berkaitan dengan muara sungai<br></li></ol>
delusi	<p-n>noun</p-n> pikiran atau pandangan yang tidak berdasar (tidak rasional), biasanya berwujud sifat kemegahan diri atau perasaan dikejar-kejar; pendapat yang tidak berdasarkan kenyataan; khayal<div class="tags"><b>psychology</b></div>
delusif	<p-n>adj</p-n> bersifat delusi (khayal, tidak nyata)
demabrasi	<p-n>noun</p-n> pengobatan dengan pengikisan atau pengelupasan kulit<div class="tags"><b>medicine</b></div>
demagog	<p-n>noun</p-n> penggerak (pemimpin) rakyat yang pandai menghasut dan membangkitkan semangat rakyat untuk memperoleh kekuasaan<div class="tags"><b>politics</b></div>
demagogi	<p-n>noun</p-n> penghasutan terhadap orang banyak dengan kata-kata yang dusta untuk membangkitkan emosi rakyat<div class="tags"><b>politics</b></div>
demagogis	<p-n>adj</p-n> bersifat demagogi
demah	<p-n>noun</p-n> barang yang panas (seperti abu panas, daun-daunan yang dipanaskan, batu panas) untuk menyembuhkan bagian tubuh yang sakit (dengan jalan ditekankan di atasnya); tuam
demam	<p-n>noun</p-n> [[]]
demam berdarah	<p-n>noun</p-n> penyakit demam yang disebabkan oleh gigitan nyamuk jenis tertentu yang menyebabkan bintik-bintik merah pada kulit serta perdarahan yang keluar dari lubang hidung, lubang telinga, dsb
demam berganti hari	<p-n>noun</p-n> penyakit demam yang tidak terus-menerus, sehari demam sehari tidak
demam berselang	<p-n>noun</p-n> demam berganti hari
demam cupak	<p-n>noun</p-n> demam yang penderitanya masih mempunyai selera makan
demam dingin	<p-n>noun</p-n> demam menggigil karena penyakit malaria
demam esek	<p-n>noun</p-n> penyakit demam yang mengakibatkan kulit kering dan bersisik-sisik
demam gigil	<p-n>noun</p-n> demam malaria
demam kamera	<p-n>noun</p-n> <p-n>figuratively</p-n> perasaan tidak tenang atau gugup menghadapi kamera televisi, film, dsb
demam keong	<p-n>noun</p-n> penyakit demam yang disebabkan oleh racun yang terdapat pada keong (di Sulawesi Tengah)
demam kepialu	<p-n>noun</p-n> <ol><li>demam dengan pening<br></li><li>demam terus-menerus dan hebat sehingga penderita mengigau<br></li></ol>
demam ketulangan	<p-n>noun</p-n> demam disertai dengan pegal-pegal pada sendi-sendi tulang
demam kuning	<p-n>noun</p-n> penyakit demam yang mengakibatkan badan berwarna kekuning-kuningan (karena sakit pada empedu)
demam kura-kura	<p-n>noun</p-n> demam yang tidak seberapa tinggi
demam lapangan	<p-n>noun</p-n> <p-n>figuratively</p-n> perasaan tidak tenang (gugup) pada waktu bertanding di lapangan
demam malaria	<p-n>noun</p-n> demam karena penyakit malaria
demam mengambuh	<p-n>noun</p-n> penyakit infeksi akut dengan gejala demam selama kurang lebih enam hari yang diikuti suhu normal selama waktu yang sama secara silih berganti, yang ditularkan oleh kutu atau pinjal
demam panas	<p-n>noun</p-n> penyakit demam dengan suhu badan yang tinggi, yang dapat menyebabkan penderitanya berubah ingatan
demam panggung	<p-n>noun</p-n> <p-n>figuratively</p-n> perasaan tidak tenang (gugup) pada waktu berada di atas panggung (pentas)
demam parit	<p-n>noun</p-n> penyakit infeksi yang beberapa kali kambuh
demam puyuh	<p-n>noun</p-n> demam pura-pura saja
demam sejuk	<p-n>noun</p-n> demam karena penyakit malaria; demam dingin
demam selesma	<p-n>noun</p-n> demam dan pilek (influenza)
demamnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari demam; demam dia/orang tersebut<div class="form_of">Form of: ketiga</div>
demang	<p-n>noun</p-n> <ol><li>kepala distrik; wedana pada zaman Pemerintahan Hindia Belanda<br></li><li>gelar kepala daerah:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Demang Lebar Daun mengerahkan masyarakat di daerahnya untuk membuat tanggul di sepanjang Sungai Siak</div></div><br></li></ol>
demap	<p-n>adj</p-n> <p-n>archaic</p-n> gelojoh; rakus
demarkasi	<p-n>noun</p-n> batas pemisah, biasanya ditetapkan oleh pihak yang sedang berperang (bersengketa) yang tidak boleh dilanggar selama gencatan senjata berlangsung untuk memisahkan dua pasukan yang saling berlawanan dalam medan pertempuran; perbatasan; tanda batas
dembam	<p-n>noun</p-n> tiruan bunyi nyiur jatuh
dembun	<p-n>noun</p-n> tiruan bunyi barang berat jatuh
demek	<p-n>adj</p-n> <ol><li>lembap; tidak kering benar<br></li><li>kumal<br></li></ol>
demen	<p-n>adj</p-n> <p-n>slang</p-n> senang; suka
demensia	<p-n>noun</p-n> <p-n>no-gloss</p-n> 
